imageDate,latitude,longitude,soilT,soilM,EPPOCode,growth_state
126,49.2913004011375,4.57142813131639,11.161,0.396,0,1
126,49.2913004011375,4.57142813131639,11.161,0.396,0,1
126,49.2913004011375,4.57142813131639,11.161,0.396,0,1
185,35.974456787109375,140.163921648767,22.44,0.377,0,1
185,35.974456787109375,140.163921648767,22.44,0.377,0,1
185,35.974456787109375,140.163921648767,22.44,0.377,0,1
185,35.974456787109375,140.163921648767,22.44,0.377,0,1
185,35.974395751953125,140.16417570425213,22.44,0.377,0,1
242,35.60601806640625,140.39956485865673,25.826,0.41,0,1
303,14.156517028808594,121.27304953476768,26.857,0.362,0,0
247,39.206329345703125,-96.59420751822536,23.401,0.415,0,1
185,35.97441733352465,140.16419473117233,22.44,0.377,0,1
185,35.97441733352465,140.16419473117233,22.44,0.377,0,1
185,35.97441733352465,140.16419473117233,22.44,0.377,0,1
247,39.206329345703125,-96.59422981153057,23.401,0.415,0,1
247,39.206329345703125,-96.59422981153057,23.401,0.415,0,1
247,39.206329345703125,-96.59422981153057,23.401,0.415,0,1
248,35.606048583984375,140.39965052170714,25.229,0.411,0,1
163,47.57852835119475,19.37726296486274,20.518,0.343,0,0
163,47.57852835119475,19.37726296486274,20.518,0.343,0,0
163,47.57852835119475,19.37726296486274,20.518,0.343,0,0
163,47.57852835119475,19.37726296486274,20.518,0.343,0,0
185,35.974456787109375,140.1637884603256,22.44,0.377,0,1
185,35.974456787109375,140.1637884603256,22.44,0.377,0,1
185,35.974456787109375,140.1637884603256,22.44,0.377,0,1
185,35.97441704015804,140.16419204896332,22.44,0.377,0,1
185,35.97441704015804,140.16419204896332,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
185,35.9744873046875,140.16404385691524,22.44,0.377,0,1
148,46.821816754570996,20.533530497942618,16.492,0.412,0,0
143,47.170529994226214,17.040193732843772,12.734,0.366,0,1
143,47.170529994226214,17.040193732843772,12.734,0.366,0,1
143,47.170529994226214,17.040193732843772,12.734,0.366,0,1
143,47.170529994226214,17.040193732843772,12.734,0.366,0,1
143,47.170529994226214,17.040193732843772,12.734,0.366,0,1
138,47.75677411952992,19.10275676254375,12.383,0.399,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
185,35.97442626953125,140.1642528177613,22.44,0.377,0,1
137,47.55118922869032,19.193653462960786,11.779,0.379,0,1
242,35.606048583984375,140.39945765411517,25.826,0.41,0,1
239,35.60787260612703,140.39241836633988,26.136,0.403,0,1
133,47.34916783873674,18.767685787769743,13.226,0.365,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
138,47.76016462749218,19.104897336531636,12.374,0.406,0,1
185,35.97442626953125,140.16383380642176,22.44,0.377,0,1
185,35.974395751953125,140.1642668155396,22.44,0.377,0,1
239,35.60601806640625,140.3996522819068,26.133,0.407,0,1
239,47.763439673043564,19.105862053128988,22.176,0.386,0,0
185,35.974700927734375,140.1629073546642,22.453,0.372,0,1
185,35.974700927734375,140.1629073546642,22.453,0.372,0,1
138,47.76351779238112,19.104406703281313,12.373,0.41,0,1
185,35.974456787109375,140.16385652137936,22.44,0.377,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
138,47.75512883597145,19.104163374947113,12.375,0.404,0,1
